table_name::user_info,opt_type::ins,primarykey_counts::1
S::id::N20220804001,S::name::Maue,N::age::17
S::id::N20220804001,S::name::Maue,N::age::17
S::id::N20220804001,S::name::Maue,N::age::17
S::id::N20220804001,S::name::Maue,N::age::17
S::id::N20220804001,S::name::Maue,N::age::17
S::id::N20220804001,S::name::Maue,N::age::17
S::id::N20220804001,S::name::Maue,N::age::17
S::id::N20220804001,S::name::Maue,N::age::17
S::id::N20220804001,S::name::Maue,N::age::17
S::id::N20220804001,S::name::Maue,N::age::17
